Type,Type_Upper
일반한식,일반휴게음식
단란주점,일반휴게음식
편의점,유통업 영리
주점,일반휴게음식
스넥,일반휴게음식
서양음식,일반휴게음식
일식회집,일반휴게음식
기타음료식품,음료식품
노래방,레저업소
중국음식,일반휴게음식
슈퍼마켓,유통업 영리
유흥주점,일반휴게음식
기타숙박업,숙박업
기타레져업,레저업소
당구장,레저업소
농축수산품,음료식품
유아원,학원
골프경기장,레저업소
세탁소,수리서비스
가방,신변잡화
콘도,숙박업
주차장,자동차정비 유지
문화취미기타,문화.취미
주유소,연료판매점
사무서비스,용역 서비스
사무서비스,회원제형태
자동차정비,자동차정비 유지
특급호텔,숙박업
볼링장,레저업소
화장품,보건위생
기타회원제형태업소,기타
주류판매점,음료식품
제과점,음료식품
피부미용실,보건위생
약국,약국
칵테일바,일반휴게음식
정육점,음료식품
독서실,학원
스포츠레져용품,레져용품
골프용품,레져용품
LPG,주유소
종합병원,병원
사우나,보건위생
화원,문화.취미
의원,의원
안마스포츠마사지,레저업소
골프연습장,레저업소
2급호텔,숙박업
기타대인서비스,보건위생
보습학원,학원
부동산분양,기타
화물운송,용역 서비스
애완동물,문화.취미
동물병원,기타의료기관
대형할인점,유통업 영리
인터넷Mall,인터넷
항공사,기타
헬스크럽,레저업소
기타유통업,유통업 영리
레져용품수리,수리서비스
정장,의류
레져업소(회원제형태),레저업소
관광여행,여행
1급호텔,숙박업
침구수예점,직물
사진관,광학제품
악세사리,신변잡화
보관창고업,기타
기념품점,신변잡화
미용원,보건위생
영화관,문화.취미
의료용품,보건위생
세차장,자동차정비 유지
인터넷종합Mall,인터넷
기타잡화,신변잡화
성인용품점,신변잡화
상품권,신변잡화
종합용역,용역 서비스
기계공구,기타
조세서비스,용역 서비스
택시,여행
기타의료기관및기기,기타의료기관
가례서비스,기타
구내매점,유통업 영리
수영장,레저업소
목재석재철물,건축자재
건축요업품,기타
기타업종,기타
렌트카,자동차판매
종합레져타운,레저업소
유류판매,연료판매점
농축협직영매장,음료식품
기타건축자재,건축자재
비료농약사료종자,신변잡화
농기계,농업
보일러펌프,수리서비스
가전제품,전기제품
스포츠의류,의류
페인트,건축자재
미곡상,음료식품
기타농업관련,농업
기타가구,가구
공공요금,기타
기능학원,학원
면세점,유통업 영리
기타교육,학원
위탁급식업,일반휴게음식
이용원,보건위생
조명기구,건축자재
문구용품,서적문구
인테리어,기타
민예공예품,문화.취미
기타연료,연료판매점
자동차부품,자동차정비 유지
기타용역서비스,용역 서비스
기타운송,자동차판매
연쇄점,유통업 영리
옷감직물,직물
한의원,의원
주방용식기,주방용구
카인테리어,자동차정비 유지
기타수리서비스,수리서비스
농협하나로클럽,유통업 비영리
기타건강식,음료식품
티켓,문화.취미
기타전기제품,전기제품
일반서적,서적문구
외국어학원,학원
건강진단,기타
냉열기기,전기제품
소프트웨어,용역 서비스
내의판매점,의류
주방용구,주방용구
완구점,서적문구
유리,건축자재
자동차시트타이어,자동차정비 유지
카페트커텐천막,신변잡화
기타교통수단,여행
테니스장,레저업소
치과의원,의원
신발,신변잡화
기타의류,의류
컴퓨터,사무통신
병원,병원
가정용품수리,수리서비스
단체복,의류
아동의류,의류
일반가구,가구
출판인쇄물,문화.취미
치과병원,병원
서적출판(회원제형태),문화.취미
카메라,광학제품
정수기,주방용구
CATV,기타
기타사무용,기타
학원(회원제형태),학원
이륜차판매,자동차판매
철제가구,가구
산후조리원,기타의료기관
견인서비스,자동차정비 유지
수족관,문화.취미
양품점,의류
시계,신변잡화
안경,보건위생
인삼제품,건강식품
홍삼제품,건강식품
한약방,약국
중장비수리,기타
캐쥬얼의류,의류
과학기자재,서적문구
윤활유전문판매,자동차정비 유지
부동산중개임대,용역 서비스
여객선,여행
통신기기,사무통신
귀금속,신변잡화
건강식품(회원제형태),음료식품
사무기기,기타
신변잡화수리,수리서비스
미용재료,보건위생
예체능학원,학원
기타보험,기타
사무통신기기수리,수리서비스
법률회계서비스,용역 서비스
맞춤복점,의류
전문서적,서적문구
화방표구점,문화.취미
손해보험,기타
악기점,레져용품
기타자동차서비스,자동차정비 유지
정기간행물,서적문구
기타비영리유통,유통업 영리
화랑,문화.취미
컴퓨터학원,학원
중고자동차,자동차판매
제화점,신변잡화
대학등록금,학원
기타서적문구,서적문구
학습지교육,학원
수입자동차,자동차판매
기타직물,직물
DVD음반테이프판매,문화.취미
기타광학품,기타
제약회사,약국
초중고교육기관,학원
사무서비스(회원제형태),용역 서비스
골동품점,문화.취미
정보서비스,용역 서비스
